"","Boloria.improba","Colias.hecla","Colias.nastes","Anarta.richardsoni","Rhamphomyia.sp.","Boreellus.atriceps","Protocalliphora.sp.","Spilogona.aesturium","Spilogona.almquistii","Spilogona.dorsata","Spilogona.hurdiana","Spilogona.latilamina","Spilogona.melanosoma","Spilogona.projecta","Spilogona.sanctipauli","Eupogonomyia.probilofensis","Pogonomyiodes.segnis","Bombus.polaris"
"Cerastium.alpinum",0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
"Caltha.palustris",0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,0,0,0
"Papaver.radicatum",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Potentilla.vahliana",0,0,0,0,0,3,1,0,5,2,0,5,1,0,19,7,1,0
"Dryas.integrifolia",8,0,0,0,0,0,0,0,3,0,0,0,0,1,15,2,5,0
"Geum.rossii",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Astragalus.alpinus",0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"Oxytropis.arctica",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Petasites.frigidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Arnica.alpina",0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0
"Taraxacum.sp.",0,0,0,0,1,1,0,2,3,0,0,0,0,0,1,0,0,0
