"","Policana albopilosa","Bombus dahlbomii","Ruizantheda mutabilis","Trichophthalma amoena","Bombus ruderatus","Syrphus octomaculatus","Manuelia gayi","Anthaxia","Phthiria","Manuelia postica","Sapromyza.Minettia","Formicidae3","Lepidoptera1","Braconidae3","Vespula germanica","Phthiria1","Chilicola2","Sphecidae","Thomisidae","Ichneumonidae2","Sephanoides galeritus","Salpingidae","Hesperiidae","Cantharidae","Coleoptera5","Torymidae3","Coleoptera3","Ichneumonidae1","Hymenoptera6"
"Aristotelia chilensis",64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alstroemeria aurea",0,115,5,0,67,2,23,14,3,10,0,0,0,0,1,2,2,1,1,1,0,0,3,1,2,0,1,1,1
"Schinus patagonicus",82,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berberis darwinii",0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vicia nigricans",0,146,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cynanchum diemii",0,0,0,0,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ribes magellanicum",0,0,0,68,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Mutisia decurrens",0,4,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tristerix corymbosus",0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gavilea odoratissima",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
