fraction,n_train,auc_mean,auc_sd,f1_mean,f1_sd
0.1,1002,0.6271569017421762,0.01332668143081675,0.25258939873906994,0.04340157731050306
0.2,2005,0.6699682785421579,0.011177541149245978,0.2946678556991157,0.026676338867147188
0.3,3008,0.6941639385545203,0.007562456902389567,0.33184387527573117,0.0295520827947737
0.4,4011,0.7080705140679013,0.008192574190521103,0.3352349715007229,0.014295469147698485
0.5,5014,0.7139628785971017,0.0035956039707657097,0.3660402851114284,0.02002975450098467
0.6,6017,0.7226261847256245,0.007904909862440329,0.36321093434136836,0.021658096618834114
0.7,7020,0.7274647443968774,0.0019034744917902997,0.36874533438981244,0.02023983563380246
0.8,8023,0.7310503279457888,0.004600306648876117,0.36842016810917233,0.008786415836326717
0.9,9026,0.7364723077539433,0.0013752280296701505,0.39004843429665037,0.010008146722278203
1,10029,0.7386256324259975,0.0017872791399811002,0.38781368907993274,0.0040663207712551275
